snaking,path_info,column_nr,avg_leniency,avg_linearity,avg_density,med_leniency,med_linearity,med_density,mod_leniency,mod_linearity,mod_density,win_rate,completion_percentage
False,False,False,3.0711194444444443,0.8383654358494461,0.004410869948597828,3.1527777777777777,0.95,0.0,"(2.3944444444444444, 2)","(0.95, 89)","(0.0, 122)",0.85333335,92.04928588867188
True,False,False,2.6430576886076884,0.29157280616276837,0.038996521617403704,2.3799603174603177,0.1532799352002574,0.02237747653806048,"(1.761111111111111, 2)","(1.0, 12)","(0.0, 53)",0.12666667,47.48399861653646
False,True,False,1.603807936507936,0.5375008943186586,0.02853347461224178,1.196388888888889,0.4921782078513702,0.016064516129032258,"(0.9222222222222223, 4)","(0.95, 37)","(0.0, 58)",0.55333334,77.24208577473959
False,False,True,2.1328403439153436,0.7896404907809196,0.008165088875337538,2.0590277777777777,0.95,0.0,"(1.827777777777778, 4)","(0.95, 68)","(0.0, 114)",0.6933333,83.47845967610678
False,True,True,1.6875383597883595,0.5803435672353948,0.027682969363567574,1.2684027777777778,0.9019868476283756,0.008403954802259887,"(0.9888888888888889, 3)","(0.95, 37)","(0.0, 58)",0.53333336,75.09873453776041
True,False,True,2.9700670274170275,0.3345460810604938,0.03726126687156155,2.5,0.2093996159324361,0.026144907723855092,"(2.0805555555555557, 2)","(1.0, 10)","(0.0, 45)",0.093333334,41.5876210530599
True,True,False,1.699575529100529,0.5575075761775954,0.025865558192039846,1.2838888888888889,0.6198139174056245,0.014928698752228164,"(0.7, 2)","(0.95, 46)","(0.0, 64)",0.27333334,69.92398071289062
True,True,True,1.6017363275613277,0.6430183867631121,0.021946102376543375,1.2106944444444445,0.95,0.003472222222222222,"(0.8833333333333333, 2)","(0.95, 56)","(0.0, 75)",0.31333333,69.21654764811198
