snaking,path_info,column_nr,avg_leniency,avg_linearity,avg_density,med_leniency,med_linearity,med_density,mod_leniency,mod_linearity,mod_density,win_rate,completion_percentage
False,False,False,2.4500835673585675,0.6730713613995863,0.007045250560734959,2.319444444444444,0.9861705437277312,0.0,"(1.5222222222222221, 3)","(1.0, 75)","(0.0, 104)",0.81333333,88.404541015625
True,False,False,2.714075541125541,0.3167177303728513,0.038670068668516404,2.4743055555555555,0.15171063490065428,0.024025974025974027,"(1.588888888888889, 2)","(0.95, 17)","(0.0, 57)",0.17333333,44.459431966145836
False,True,False,1.5543829365079365,0.6232859494130645,0.023339119584754636,1.2638888888888888,0.95,0.008064516129032258,"(1.1111111111111112, 3)","(0.95, 44)","(0.0, 63)",0.52666664,76.6167958577474
False,False,True,2.15695076960077,0.6691100885955527,0.017332414331100297,2.1277777777777778,0.95,0.0,"(2.2444444444444445, 3)","(0.95, 59)","(0.0, 89)",0.7133333,84.05386352539062
False,True,True,1.488904761904762,0.5391190470673466,0.0302720201854081,1.153888888888889,0.551792566540668,0.015665903141361258,"(1.3833333333333333, 3)","(0.95, 35)","(0.0, 56)",0.53333336,72.93651326497395
True,False,True,2.857416402116402,0.22826553566634067,0.05891984603255695,2.497916666666667,0.12256405026321648,0.05434282030026711,"(2.3444444444444446, 2)","(1.0, 7)","(0.0, 31)",0.06666667,39.12901306152344
True,True,False,1.5361375661375658,0.4902269481702058,0.030148343738327827,1.215873015873016,0.3565076131406982,0.021978316874194936,"(0.8277777777777777, 2)","(0.95, 31)","(0.0, 58)",0.24666667,69.25679016113281
True,True,True,1.5071177248677248,0.5932223556802725,0.02347642002591779,1.1927777777777777,0.8273283837218961,0.007547277284119389,"(0.7777777777777778, 2)","(0.95, 45)","(0.0, 72)",0.3,68.62363179524739
