snaking,path_info,column_nr,avg_leniency,avg_linearity,avg_density,med_leniency,med_linearity,med_density,mod_leniency,mod_linearity,mod_density,win_rate,completion_percentage
False,False,False,2.228485125060125,0.713916020085025,0.006727761288499382,2.261111111111111,1.0,0.0,"(1.5, 2)","(1.0, 80)","(0.0, 102)",0.82666665,90.92702229817708
True,False,False,2.464147684722685,0.29508832495434073,0.039055306033308916,2.2813492063492062,0.14120901018680126,0.025723738626964435,"(0.9722222222222223, 1)","(0.95, 9)","(0.0, 44)",0.11333334,49.58307902018229
False,True,False,1.4807962962962964,0.6945603720358591,0.014903440717359301,1.2316666666666667,0.95,0.0,"(0.7111111111111111, 2)","(0.95, 44)","(0.0, 93)",0.5933333,84.49162292480469
False,False,True,1.8608449735449737,0.5757951226025161,0.02402161810758424,1.8819444444444444,0.661688357268388,0.0,"(2.2111111111111112, 4)","(1.0, 46)","(0.0, 78)",0.6333333,80.34061686197916
False,True,True,1.4767440476190477,0.5693873952735199,0.021877814212698042,1.25,0.6193781592853804,0.0115210355987055,"(1.1277777777777778, 3)","(1.0, 33)","(0.0, 62)",0.46666667,68.15789794921875
True,False,True,2.626207341732342,0.33974794911628736,0.04188936481400443,2.2888888888888888,0.164168196226471,0.037855266300453785,"(1.6277777777777778, 2)","(1.0, 21)","(0.0, 36)",0.11333334,41.151265462239586
True,True,False,1.2735682539682538,0.5695975255090466,0.020009628261574625,1.1872222222222222,0.6399744722726048,0.013889558717144923,"(0.9722222222222223, 2)","(0.95, 46)","(0.0, 67)",0.44666666,82.61578877766928
True,True,True,1.2735682539682538,0.5695975255090466,0.020009628261574625,1.1872222222222222,0.6399744722726048,0.013889558717144923,"(0.9722222222222223, 2)","(0.95, 46)","(0.0, 67)",0.45333335,82.63260904947917
