snaking,path_info,column_nr,avg_leniency,avg_linearity,avg_density,med_leniency,med_linearity,med_density,mod_leniency,mod_linearity,mod_density,win_rate,completion_percentage
False,False,False,2.5090510332260334,0.6730944980410809,0.006065071750420385,2.4,0.95,0.0,"(1.5444444444444445, 2)","(1.0, 64)","(0.0, 120)",0.76666665,90.50469970703125
True,False,False,2.7840059246309248,0.24163361295691496,0.04867940622209307,2.470833333333333,0.11674875106611499,0.04142592008964527,"(1.922222222222222, 2)","(0.0, 11)","(0.0, 27)",0.093333334,49.241765340169266
False,True,False,1.3932667989417988,0.6339799676638507,0.02772710102427706,1.0777777777777777,0.95,0.0,"(0.7222222222222222, 3)","(0.95, 44)","(0.0, 85)",0.61333334,78.62226867675781
False,False,True,2.1502188191438187,0.6795870029632943,0.015567812855543513,2.072222222222222,0.95,0.0,"(2.0666666666666664, 3)","(0.95, 54)","(0.0, 86)",0.70666665,83.93412272135417
False,True,True,1.195673593073593,0.595223596674878,0.028715859472210146,1.067222222222222,0.9485929116797358,0.011543579507651364,"(1.1222222222222222, 4)","(0.95, 53)","(0.0, 64)",0.5733333,81.42373148600261
True,False,True,2.6071966089466088,0.35476921967299657,0.030189834211539684,2.386111111111111,0.16299940813489544,0.012121657361151925,"(2.1805555555555554, 2)","(0.95, 17)","(0.0, 56)",0.15333334,48.024485270182296
True,True,False,1.4499567460317462,0.5877757839971508,0.017310700973733367,1.2406944444444443,0.6992154475392944,0.0037593984962406013,"(1.1166666666666667, 3)","(0.95, 46)","(0.0, 75)",0.31333333,75.54248555501302
True,True,True,1.5070931216931216,0.6178838599222295,0.01643460925798519,1.2854166666666667,0.95,0.0,"(0.8166666666666667, 2)","(0.95, 64)","(0.0, 82)",0.30666667,69.8025156656901
