snaking,path_info,column_nr,avg_leniency,avg_linearity,avg_density,med_leniency,med_linearity,med_density,mod_leniency,mod_linearity,mod_density,win_rate,completion_percentage
False,False,False,2.3819500000000002,0.8614109859232082,0.0009837215407113348,2.3583333333333334,0.9993218806509946,0.0,"(2.561111111111111, 3)","(1.0, 75)","(0.0, 138)",0.78,91.56298828125
True,False,False,3.0019743386243385,0.3013287829978149,0.04650737102320506,2.7222222222222223,0.1613362989521705,0.04081667346661227,"(1.2722222222222221, 2)","(1.0, 12)","(0.0, 38)",0.093333334,38.147768656412765
False,True,False,1.5001619047619048,0.6257071224748938,0.02130338352990747,1.288888888888889,0.95,0.007272823442293451,"(1.1333333333333333, 3)","(0.95, 53)","(0.0, 72)",0.53333336,82.54744466145834
False,False,True,1.8903975459725462,0.7846984469708368,0.0075740435008150725,1.9039682539682539,0.95,0.0,"(1.7555555555555555, 4)","(1.0, 60)","(0.0, 111)",0.8466667,93.0380350748698
False,True,True,1.403463492063492,0.5645498154836275,0.027048510036613897,1.1541666666666668,0.6325493471666592,0.007846153846153846,"(0.7555555555555556, 2)","(0.95, 41)","(0.0, 70)",0.73333335,84.11913045247395
True,False,True,2.8751153318903317,0.41571346960107985,0.04093189233322974,2.5109126984126986,0.2568070225670315,0.030581325751907827,"(2.1166666666666667, 2)","(1.0, 26)","(0.0, 39)",0.02,29.54894256591797
True,True,False,1.6465648148148149,0.5157923113112837,0.03609176760617454,1.2922222222222224,0.46565867578680237,0.030303030303030304,"(0.8666666666666667, 3)","(0.95, 41)","(0.0, 40)",0.18666667,63.18061828613282
True,True,True,1.5253813492063493,0.5336061980511894,0.03323350873099424,1.3376388888888888,0.5174164856758714,0.01627737709256931,"(0.7222222222222222, 2)","(0.95, 50)","(0.0, 57)",0.22,69.24246724446614
