snaking,path_info,column_nr,avg_leniency,avg_linearity,avg_density,med_leniency,med_linearity,med_density,mod_leniency,mod_linearity,mod_density,win_rate,completion_percentage
False,False,False,2.496483068783069,0.8237799639738446,0.005548561313042277,2.4444444444444446,0.95,0.0,"(2.638888888888889, 3)","(1.0, 68)","(0.0, 114)",0.7866667,87.55874633789062
True,False,False,2.9136793410293413,0.33667707073750336,0.03928108225462035,2.522222222222222,0.18868490434614882,0.027936448481443332,"(1.8, 2)","(1.0, 16)","(0.0, 46)",0.1,44.16008504231771
False,True,False,1.5522456349206348,0.6452763530547329,0.022877304626784663,1.15,0.95,0.007352941176470588,"(1.1888888888888889, 3)","(0.95, 56)","(0.0, 70)",0.6066667,82.06363932291667
False,False,True,2.19990974025974,0.8575320860835082,0.00888028306082098,2.1666666666666665,0.95,0.0,"(1.9833333333333334, 3)","(0.95, 89)","(0.0, 101)",0.67333335,81.94568888346355
False,True,True,1.1322304232804232,0.6289862226828098,0.02063107560824108,1.0416666666666665,0.95,0.0,"(0.16111111111111112, 2)","(0.95, 58)","(0.0, 79)",0.72,88.55481974283855
True,False,True,2.75242328042328,0.28609028181593726,0.04323486408280908,2.4611111111111112,0.16556790370636315,0.03508771929824561,"(2.0944444444444446, 2)","(0.95, 12)","(0.0, 38)",0.13333334,47.307210286458336
True,True,False,1.6148521164021163,0.6100945173123529,0.024608144379204718,1.2616666666666667,0.8388900023681233,0.015564437984496124,"(1.1333333333333333, 3)","(0.95, 43)","(0.0, 64)",0.22,66.17972819010417
True,True,True,1.5533831890331888,0.4153589690479713,0.03730598267195115,1.2505555555555556,0.2687165775401069,0.029865715718504486,"(0.8111111111111111, 3)","(0.95, 27)","(0.0, 47)",0.38666666,70.31012980143228
